No.	Species Name
1	O
2	O3
3	H
4	OH
5	HO2
6	H2O2
7	H2O
8	N
9	NH3
10	NH2
11	N2O
12	NO
13	NO2
14	NO3
15	N2O5
16	HNO
17	HNO2
18	HNO3
19	C
20	CO
21	CH4
22	CH2O
23	CH2O2
24	CH4O
25	CH4O2
26	C2
27	C2H2
28	C2H3
29	C2H4
30	C2H5
31	C2H6
32	C2HO
33	C2H2O
34	C2H3O
35	C2H4O
36	C2H5O
37	HCN
38	CN
39	CNO
40	S
41	S2
42	SO
43	SO2
44	SO3
45	H2S
46	HS
47	HSO
48	HSO2
49	OCS
50	CS
51	CH3S
52	CO2
53	H2
54	O2
55	N2
56	O(1D)
57	NH
58	CH
59	CH2
60	CH3
61	CHO
62	CH3O
63	CHO2
64	C2H
65	CH3NO2
66	CH3NO3
67	C2H2N
68	HSO3
69	CH4S
70	HNO4
71	CH3O2
72	HCNO
73	H2SO4
74	SO21
75	SO23
76	S3
77	S4
78	H2SO4A
79	S8
80	CH21
81	C3H2
82	C3H3
83	C3H41
84	C3H42
85	C3H5
86	C3H6
87	C3H7
88	C3H8
89	C4H
90	C4H2
91	C4H3
92	C4H4
93	C4H5
94	C4H61
95	C4H62
96	C4H63
97	C4H8
98	C4H9
99	C4H10
100	C6H
101	C6H2
102	C6H3
103	C6H6
104	C8H2
105	CMHA
106	N2H2
107	N2H3
108	N2H4
109	CH5N
110	C2H5N
111	S8A
112	PH3
113	PH3D
