Pressure H2O CO2 CH4 O2 O3 N2 
1.000e+05 3.31 0.0407 0.000178 21 1.78e-06 75.6 
7.943e+04 1.66 0.0407 0.000178 21 2.48e-06 77.3 
6.310e+04 0.832 0.0407 0.000178 21 3.47e-06 78.1 
5.012e+04 0.417 0.0407 0.000178 21 4.84e-06 78.5 
3.981e+04 0.209 0.0407 0.000178 21 6.76e-06 78.8 
3.162e+04 0.0782 0.0407 0.000178 21 9.44e-06 78.9 
2.512e+04 0.0271 0.0407 0.000178 21 1.32e-05 78.9 
1.995e+04 0.0094 0.0407 0.000178 21 1.79e-05 78.9 
1.585e+04 0.00326 0.0407 0.000178 21 2.58e-05 79 
1.259e+04 0.00113 0.0407 0.000178 21 3.73e-05 79 
1.000e+04 0.000316 0.0407 0.000178 21 5.39e-05 79 
7.943e+03 0.000316 0.0407 0.000178 21 7.79e-05 79 
6.310e+03 0.000316 0.0407 0.000178 21 0.000113 79 
5.012e+03 0.000316 0.0407 0.000178 21 0.000163 79 
3.981e+03 0.000316 0.0407 0.000178 21 0.000235 79 
3.162e+03 0.000316 0.0407 0.000178 21 0.00034 79 
2.512e+03 0.000316 0.0407 0.00016 21 0.000492 79 
1.995e+03 0.000316 0.0407 0.000139 21 0.000708 79 
1.585e+03 0.000316 0.0407 0.000121 21 0.000708 79 
1.259e+03 0.000316 0.0407 0.000106 21 0.000708 79 
1.000e+03 0.000316 0.0407 9.2e-05 21 0.000708 79 
7.943e+02 0.000316 0.0407 8.01e-05 21 0.000708 79 
6.310e+02 0.000316 0.0407 6.98e-05 21 0.000708 79 
5.012e+02 0.000316 0.0407 6.08e-05 21 0.000708 79 
3.981e+02 0.000316 0.0407 5.29e-05 21 0.000708 79 
3.162e+02 0.000318 0.0407 4.61e-05 21 0.000708 79 
2.512e+02 0.000321 0.0407 4.02e-05 21 0.000708 79 
1.995e+02 0.000323 0.0407 3.5e-05 21 0.000707 79 
1.585e+02 0.000325 0.0407 3.05e-05 21 0.000588 79 
1.259e+02 0.000327 0.0407 2.65e-05 21 0.000489 79 
1.000e+02 0.00033 0.0407 2.31e-05 21 0.000407 79 
7.943e+01 0.000332 0.0407 2.01e-05 21 0.000338 79 
6.310e+01 0.000334 0.0407 1.75e-05 21 0.000281 79 
5.012e+01 0.000337 0.0407 1.53e-05 21 0.000234 79 
3.981e+01 0.000339 0.0407 1.33e-05 21 0.000195 79 
3.162e+01 0.000341 0.0407 1.16e-05 21 0.000162 79 
2.512e+01 0.000344 0.0407 1.01e-05 21 0.000135 79 
1.995e+01 0.000346 0.0407 8.78e-06 21 0.000112 79 
1.585e+01 0.000348 0.0407 7.65e-06 21 9.31e-05 79 
1.259e+01 0.000351 0.0407 6.66e-06 21 7.75e-05 79 
1.000e+01 0.000353 0.0407 5.8e-06 21 6.44e-05 79 
7.943e+00 0.000356 0.0407 5.06e-06 21 5.36e-05 79 
6.310e+00 0.000358 0.0407 4.4e-06 21 4.46e-05 79 
5.012e+00 0.000361 0.0407 3.83e-06 21 3.71e-05 79 
3.981e+00 0.000363 0.0407 3.34e-06 21 3.08e-05 79 
3.162e+00 0.000366 0.0407 2.91e-06 21 2.57e-05 79 
2.512e+00 0.000368 0.0407 2.53e-06 21 2.13e-05 79 
1.995e+00 0.000371 0.0407 2.21e-06 21 1.77e-05 79 
1.585e+00 0.000373 0.0407 1.92e-06 21 1.48e-05 79 
1.259e+00 0.000376 0.0407 1.67e-06 21 1.23e-05 79 
1.000e+00 0.000378 0.0407 1.46e-06 21 1.02e-05 79 
7.943e-01 0.000381 0.0407 1.27e-06 21 8.5e-06 79 
6.310e-01 0.000384 0.0407 1.11e-06 21 7.07e-06 79 
5.012e-01 0.000386 0.0407 9.63e-07 21 5.88e-06 79 
3.981e-01 0.000389 0.0407 8.39e-07 21 4.89e-06 79 
3.162e-01 0.000392 0.0407 7.31e-07 21 4.07e-06 79 
2.512e-01 0.000395 0.0407 6.36e-07 21 3.38e-06 79 
1.995e-01 0.000397 0.0407 5.54e-07 21 2.81e-06 79 
1.585e-01 0.0004 0.0407 4.83e-07 21 2.34e-06 79 
1.259e-01 0.000403 0.0407 4.2e-07 21 1.95e-06 79 
1.000e-01 0.000406 0.0407 3.66e-07 21 1.62e-06 79 
7.943e-02 0.000408 0.0407 3.19e-07 21 1.35e-06 79 
6.310e-02 0.000411 0.0407 2.78e-07 21 1.12e-06 79 
5.012e-02 0.000414 0.0407 2.42e-07 21 9.31e-07 79 
3.981e-02 0.000417 0.0407 2.11e-07 21 7.75e-07 79 
3.162e-02 0.00042 0.0407 1.84e-07 21 6.44e-07 79 
2.512e-02 0.000423 0.0407 1.6e-07 21 5.36e-07 79 
1.995e-02 0.000426 0.0407 1.39e-07 21 4.46e-07 79 
1.585e-02 0.000429 0.0407 1.21e-07 21 3.71e-07 79 
1.259e-02 0.000432 0.0407 1.06e-07 21 3.08e-07 79 
1.000e-02 0.000435 0.0407 9.2e-08 21 2.57e-07 79 
7.943e-03 0.000438 0.0407 8.01e-08 21 2.13e-07 79 
6.310e-03 0.000441 0.0407 6.98e-08 21 1.77e-07 79 
5.012e-03 0.000444 0.0407 6.08e-08 21 1.48e-07 79 
3.981e-03 0.000447 0.0407 5.29e-08 21 1.23e-07 79 
3.162e-03 0.00045 0.0407 4.61e-08 21 1.02e-07 79 
2.512e-03 0.000453 0.0407 4.02e-08 21 8.5e-08 79 
1.995e-03 0.000456 0.0407 3.5e-08 21 7.07e-08 79 
1.585e-03 0.000459 0.0407 3.05e-08 21 5.88e-08 79 
1.259e-03 0.000462 0.0407 2.65e-08 21 4.89e-08 79 
1.000e-03 0.000466 0.0407 2.31e-08 21 4.07e-08 79 
7.943e-04 0.000469 0.0407 2.01e-08 21 3.38e-08 79 
6.310e-04 0.000472 0.0407 1.75e-08 21 2.81e-08 79 
5.012e-04 0.000475 0.0407 1.53e-08 21 2.34e-08 79 
3.981e-04 0.000479 0.0407 1.33e-08 21 1.95e-08 79 
3.162e-04 0.000482 0.0407 1.16e-08 21 1.62e-08 79 
2.512e-04 0.000485 0.0407 1.01e-08 21 1.35e-08 79 
1.995e-04 0.000489 0.0407 8.78e-09 21 1.12e-08 79 
1.585e-04 0.000492 0.0407 7.65e-09 21 9.31e-09 79 
1.259e-04 0.000496 0.0407 6.66e-09 21 7.75e-09 79 
1.000e-04 0.000499 0.0407 5.8e-09 21 6.44e-09 79 
7.943e-05 0.000502 0.0407 5.06e-09 21 5.36e-09 79 
6.310e-05 0.000506 0.0407 4.4e-09 21 4.46e-09 79 
5.012e-05 0.000509 0.0407 3.83e-09 21 3.71e-09 79 
3.981e-05 0.000513 0.0407 3.34e-09 21 3.08e-09 79 
3.162e-05 0.000516 0.0407 2.91e-09 21 2.57e-09 79 
2.512e-05 0.00052 0.0407 2.53e-09 21 2.13e-09 79 
1.995e-05 0.000524 0.0407 2.21e-09 21 1.77e-09 79 
1.585e-05 0.000527 0.0407 1.92e-09 21 1.48e-09 79 
1.259e-05 0.000531 0.0407 1.67e-09 21 1.23e-09 79 
1.000e-05 0.000535 0.0407 1.46e-09 21 1.02e-09 79 
