# Reference: Khare, B. N., C. Sagan, E. T. Arakawa, F. Suits,           
# T. A. Callcott, and M. W. Williams                                    
# Optical Constants of Organic Tholins Produced in a Simulated Titanian 
# Atmosphere: from Soft X-Ray to Microwave Frequencies                  
# Icarus, v60, p127-137, 1984                                           
#                                                                       
# Real and Imaginary Refractive Indices of Titan Tholins                
#                                                            
# Contact: Steven Massie (Steven.Massie@lasp.colorado.edu)                 
#                                                            
# Format: 90 lines 2x,2(1x,e10.4),2(1x,f10.4)                
#                                                            
# microns       real    imaginary                       
2.0700e-02 0.9200 0.0490
3.1200e-02 0.8500 0.1400
4.1500e-02 0.8020 0.3100
4.4900e-02 0.8120 0.3800
5.8800e-02 0.9630 0.6200
7.8500e-02 1.3300 0.7700
8.0000e-02 1.3700 0.7700
9.2500e-02 1.5800 0.6700
1.0160e-01 1.6700 0.5800
1.0970e-01 1.7200 0.5000
1.1590e-01 1.7500 0.4300
1.1810e-01 1.7500 0.4000
1.2150e-01 1.7400 0.3700
1.3620e-01 1.7000 0.2700
1.6310e-01 1.6500 0.2400
1.9680e-01 1.6600 0.2200
2.3840e-01 1.6800 0.2100
2.6380e-01 1.6800 0.1800
2.9520e-01 1.6600 0.1500
3.2630e-01 1.6400 0.1300
3.5420e-01 1.6300 0.1100
3.8740e-01 1.6600 0.0910
4.1330e-01 1.6900 0.0760
4.4280e-01 1.7200 0.0600
5.6350e-01 1.7000 0.0230
6.8880e-01 1.6800 0.0088
8.7310e-01 1.6600 0.0024
1.0160e+00 1.6500 0.0010
1.1480e+00 1.6500 0.0006
1.1920e+00 1.6500 0.0005
1.3570e+00 1.6400 0.0004
1.3810e+00 1.6400 0.0004
1.8020e+00 1.6400 0.0004
1.8130e+00 1.6400 0.0004
1.8230e+00 1.6400 0.0004
1.8730e+00 1.6300 0.0005
2.0190e+00 1.6300 0.0007
2.2140e+00 1.6300 0.0009
2.3930e+00 1.6200 0.0008
2.4030e+00 1.6200 0.0009
2.4220e+00 1.6200 0.0012
2.6950e+00 1.6000 0.0041
2.7430e+00 1.5900 0.0110
2.8180e+00 1.5800 0.0240
2.9380e+00 1.5900 0.0600
3.0090e+00 1.6100 0.0750
3.2460e+00 1.6500 0.0560
3.4630e+00 1.6500 0.0350
3.6680e+00 1.6500 0.0210
3.9480e+00 1.6400 0.0130
4.2170e+00 1.6300 0.0100
4.4280e+00 1.6100 0.0110
4.4920e+00 1.6100 0.0140
4.5920e+00 1.6100 0.0280
4.6260e+00 1.6200 0.0270
4.8810e+00 1.6100 0.0100
5.1660e+00 1.5800 0.0076
5.2530e+00 1.5800 0.0087
5.4380e+00 1.5500 0.0110
5.7400e+00 1.4800 0.0290
5.8480e+00 1.4400 0.0700
5.9610e+00 1.4300 0.1500
6.3260e+00 1.5800 0.2800
6.4570e+00 1.6400 0.2600
6.6660e+00 1.6900 0.2200
7.0440e+00 1.6900 0.1700
7.6530e+00 1.7200 0.1300
8.7310e+00 1.7100 0.0920
1.0510e+01 1.6700 0.0750
1.1070e+01 1.6600 0.0790
1.1700e+01 1.6400 0.0970
1.2910e+01 1.6700 0.1400
1.4420e+01 1.6700 0.1700
1.7710e+01 1.7400 0.2100
1.8230e+01 1.7600 0.2100
2.2140e+01 1.8000 0.1800
3.1000e+01 1.8100 0.1400
3.6460e+01 1.8100 0.1500
5.6350e+01 1.8600 0.1900
8.1570e+01 1.9300 0.2100
1.2150e+02 2.0200 0.1900
1.4090e+02 2.0300 0.1600
1.7220e+02 2.0400 0.1600
2.2960e+02 2.0700 0.1400
3.8740e+02 2.1200 0.1000
5.6350e+02 2.1500 0.0700
6.8880e+02 2.1600 0.0470
7.7490e+02 2.1600 0.0290
8.5000e+02 2.1700 0.0100
9.2000e+02 2.1700 0.0030
